epoch,accuracy,auc,fn,fp,loss,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_precision,val_recall,val_tn,val_tp
0,0.98837614,0.8958737,2524.0,462.0,0.043489465503540915,0.56578946,0.19257838,253297.0,602.0,0.99072134,0.97243065,1765.0,442.0,0.02815192405694843,0.7084433,0.37830222,234577.0,1074.0
1,0.99187577,0.96678674,1607.0,480.0,0.025760888773769627,0.75987995,0.4859245,253279.0,1519.0,0.9933784,0.9829864,1130.0,445.0,0.020270983138807173,0.7934076,0.6019725,234574.0,1709.0
0,0.98874205,0.89949125,2508.0,384.0,0.04228426952078606,0.6171486,0.19795331,253374.0,619.0,0.9906877,0.97301346,1809.0,406.0,0.02809719947757317,0.7172702,0.36280382,234613.0,1030.0
1,0.9920704,0.9677078,1577.0,460.0,0.025189040290314,0.7711443,0.49568278,253298.0,1550.0,0.99339104,0.9851352,1132.0,440.0,0.020143395456170915,0.7950629,0.60126805,234579.0,1707.0
0,0.98846954,0.89900434,2595.0,367.0,0.04326154279889692,0.5867117,0.16720153,253402.0,521.0,0.9900739,0.9604495,2168.0,193.0,0.030489835066714016,0.7766204,0.23635083,234826.0,671.0
1,0.9916383,0.9652517,1676.0,472.0,0.026605745619426035,0.75313807,0.46213093,253297.0,1440.0,0.99292856,0.9615627,1372.0,310.0,0.022731037905463592,0.82554865,0.51673126,234709.0,1467.0
0,0.98867196,0.89926195,2518.0,392.0,0.04268883974906713,0.59462255,0.18590365,253400.0,575.0,0.99029255,0.9315615,2046.0,263.0,0.03322667677712673,0.750947,0.2793237,234756.0,793.0
1,0.9916305,0.9654985,1665.0,485.0,0.026264731225394914,0.7464715,0.46168768,253307.0,1428.0,0.9930379,0.9619144,1368.0,288.0,0.0225021163382395,0.83627063,0.5181402,234731.0,1471.0
0,0.9886564,0.9045823,2517.0,397.0,0.042300865572179526,0.6130604,0.19993643,253342.0,629.0,0.9862018,0.977473,964.0,2318.0,0.053405839232855766,0.44717386,0.66044384,232701.0,1875.0
1,0.9918212,0.96803105,1652.0,449.0,0.026163001881080783,0.76891404,0.47488874,253290.0,1494.0,0.99323964,0.96759456,1343.0,265.0,0.02154434277206326,0.84951735,0.5269461,234754.0,1496.0
2,0.99354184,0.97041124,1245.0,414.0,0.02156042997473802,0.8211663,0.6042594,253325.0,1901.0,0.99395436,0.96711755,1190.0,248.0,0.01969510935771587,0.8692673,0.5808383,234771.0,1649.0
0,0.9885747,0.8931042,2525.0,410.0,0.04307447435108423,0.5866935,0.18731895,253368.0,582.0,0.99030095,0.97118115,1620.0,687.0,0.028943709251683002,0.63955927,0.42937654,234332.0,1219.0
1,0.99191076,0.9639647,1640.0,438.0,0.02648017445419262,0.7700787,0.47215965,253340.0,1467.0,0.9929075,0.9867155,933.0,754.0,0.022942839288917875,0.71654135,0.6713632,234265.0,1906.0
0,0.9886642,0.9040605,2515.0,397.0,0.04210775888799015,0.59198356,0.18634745,253397.0,576.0,0.9900361,0.9621426,2170.0,200.0,0.029814133887185627,0.7698504,0.23564635,234819.0,669.0
1,0.9920976,0.9663062,1605.0,425.0,0.025932520426806063,0.7776033,0.48075056,253369.0,1486.0,0.9925418,0.93871695,1588.0,186.0,0.026089792608576128,0.8705637,0.4406481,234833.0,1251.0
0,0.9884228,0.9005361,2571.0,403.0,0.042637202436654524,0.57264054,0.17357762,253371.0,540.0,0.99020845,0.96143985,2113.0,216.0,0.030196476362989055,0.77070063,0.25572383,234803.0,726.0
1,0.9916694,0.9643895,1674.0,466.0,0.026789785615874258,0.7551235,0.46190935,253308.0,1437.0,0.99259645,0.9851225,925.0,836.0,0.023203301732553864,0.696,0.67418104,234183.0,1914.0
0,0.98882383,0.9048313,2496.0,375.0,0.04171273914014266,0.6200608,0.1969112,253403.0,612.0,0.9876019,0.978327,1151.0,1798.0,0.03814773874960464,0.4842226,0.5945756,233221.0,1688.0
1,0.9919264,0.9647723,1624.0,450.0,0.02593269455893699,0.7673216,0.4774775,253328.0,1484.0,0.9933784,0.97609425,1185.0,390.0,0.02054658882870262,0.80919766,0.5825995,234629.0,1654.0
2,0.9935536,0.96830577,1232.0,424.0,0.02158255166257643,0.8156522,0.6036036,253354.0,1876.0,0.993803,0.9601598,1262.0,212.0,0.02095181672285446,0.88149804,0.55547726,234807.0,1577.0
